source_map,example_id,domain,stage_index,instruction,current_evaluator,expected_artifact,status,snapshot_support,input_snapshot,gold_snapshot,merged_stage_indices,merged_artifacts,example_json,notes,recommended_fix
Microsoft_08,da802c1f-9f22-31bc-eae5-f30445371a4c,excel,2,Could you input and organize the survey data in the Excel workbook?,compare_xlsx_files,xlsx,qualified,full,20260104_151336,20260104_151720,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/da802c1f-9f22-31bc-eae5-f30445371a4c.json,Workbook non-empty cells increased from 13 to 37.,
Microsoft_08,6532f4f2-9e63-03d3-53e5-ec755b775b24,excel,3,Could you apply conditional formatting to highlight key insights in the Excel data?,compare_xlsx_files,xlsx,qualified,full,20260104_151720,20260104_151810,[3],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/6532f4f2-9e63-03d3-53e5-ec755b775b24.json,Workbook non-empty cells increased from 38 to 45.,
Microsoft_08,3f88b1fa-e67b-0a75-40c4-7ca4da45d695,excel,4,Could you create a radar chart in the Excel workbook?,compare_xlsx_files,xlsx,qualified,full,20260104_151810,20260104_152203,[4],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/3f88b1fa-e67b-0a75-40c4-7ca4da45d695.json,Workbook drawing/chart count increased from 0 to 1.,
Microsoft_08,6addadf7-69fa-dccb-34ce-49e5317f7145,ppt,5,"Could you open Microsoft PowerPoint 365 and create a new presentation for the customer satisfaction analysis, and then link the relevant Excel data to the PowerPoint slides, and then create visual summaries, such as charts and graphs, in the PowerPoint presentation using the linked data, and then save the final PowerPoint presentation with the linked data and visual summaries?",compare_pptx_files,pptx,qualified,full,20260104_152203,20260104_153033,"[5, 6, 7, 8]","[""pptx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/ppt/6addadf7-69fa-dccb-34ce-49e5317f7145.json,Could not find target file content change. Planned snapshots show an observable artifact change; using generic compare_pptx_files evaluator.,
Microsoft_09,89d4abd6-8560-2288-29f5-616797327be5,excel,1,"Could you open Microsoft Excel 365 and input the customer profit data, and then save the Excel file as Customer_Profit_Analysis.xlsx?",compare_xlsx_files,xlsx,qualified,full,20260105_184745,20260105_185341,"[1, 5]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/89d4abd6-8560-2288-29f5-616797327be5.json,Target file appeared between snapshots.,
Microsoft_09,4f216ea6-7eba-cd77-c349-99b8a3677e37,word,7,"Could you write a detailed analysis of the customer profitability data in the Word document, using clear and descriptive paragraphs?",compare_docx_files,docx,qualified,full,20260105_185444,20260105_185505,[7],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/4f216ea6-7eba-cd77-c349-99b8a3677e37.json,Target file changed between snapshots.,
Microsoft_09,34a7f3b9-848e-f133-b51b-cbd1bda5812e,multi_app,8,Could you include the key trends and insights from the Excel analysis in the Word document?,compare_docx_files,docx,qualified,full,20260105_185505,20260105_185538,[8],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/34a7f3b9-848e-f133-b51b-cbd1bda5812e.json,Target file changed between snapshots.,
Microsoft_09,f0d58f3e-ced3-c56f-be4d-d59049a785f7,word,9,Could you format the Word document?,compare_docx_files,docx,qualified,full,20260105_185538,20260105_185620,[9],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/f0d58f3e-ced3-c56f-be4d-d59049a785f7.json,Target file changed between snapshots.,
Microsoft_09,ed393051-2b80-fe40-6391-e62c2c5ed9e7,word,10,Could you save the Word document as Customer_Profitability_Report.docx?,compare_docx_files,docx,qualified,full,20260105_185620,20260105_185656,[10],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/ed393051-2b80-fe40-6391-e62c2c5ed9e7.json,Could not find target file content change. Planned snapshots show an observable artifact change; using generic compare_docx_files evaluator.,
Microsoft_10,0e673beb-b267-85f8-5e0f-6c259d6c4b63,excel,1,"Could you open the daily profit monthly report in Excel, and then create a chart to visualize the sales, cost, and profit data? Could you add a feature to select a specific day in the chart? Could you set up the chart to display the data for the next 10 days after the selected day, and then save the updated report with the new chart and selection feature?",compare_xlsx_files,xlsx,qualified,full,20260105_192216,20260105_192745,"[1, 2, 3]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/0e673beb-b267-85f8-5e0f-6c259d6c4b63.json,Target file appeared between snapshots.,
Microsoft_11,4218eb13-3920-e0ec-bb76-afb948c7ca92,excel,1,"Could you create a list of VIP customers and their purchased products in Excel, and then format the Excel list to clearly show the VIP customer, product, and latest purchase date, and then input the latest purchase date for each product for each VIP customer in the Excel list, and then save the final Excel list?",compare_xlsx_files,xlsx,qualified,full,20260105_194806,20260105_195410,"[1, 2, 3, 4]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/4218eb13-3920-e0ec-bb76-afb948c7ca92.json,Target file appeared between snapshots.,
Microsoft_12,0cf3cfc4-3ec9-8a14-ddd1-e8a50a057bf7,excel,1,Could you create an input table in Excel for managing the laptops?,compare_xlsx_files,xlsx,qualified,full,20260105_201258,20260105_201355,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/0cf3cfc4-3ec9-8a14-ddd1-e8a50a057bf7.json,Target file appeared between snapshots.,
Microsoft_12,43a42f92-5067-2648-c72e-53d8ece8f6df,excel,2,"Could you add columns for model and volume in the input table? Could you add a column for serial number in the input table? Could you input the provided model and volume data into the table, and then input the serial numbers into the table as they become available?",compare_xlsx_files,xlsx,qualified,full,20260105_201355,20260105_202021,"[2, 3]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/43a42f92-5067-2648-c72e-53d8ece8f6df.json,Could not find workbook content growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_13,d66441dc-7b28-186d-8cb9-3e91efecc2c4,excel,1,"Could you open the Excel file containing the team's match results from the previous season, and then create a table to organize the match results data, and then calculate the maximum number of consecutive wins, losses, and draws in the match results, and then save the final result as 'final result.xlsx'?",compare_xlsx_files,xlsx,qualified,full,20260105_152331,20260105_153118,"[1, 2, 3, 4]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/d66441dc-7b28-186d-8cb9-3e91efecc2c4.json,Target file appeared between snapshots.,
Microsoft_14,de217977-247d-647c-b422-52bdbedac762,excel,1,"Could you open the file containing the actual sales data and the file with individual sales rep targets, and then create a new Excel sheet to consolidate the sales rep information and their actual sales data, and then calculate the performance of each sales rep by comparing their actual sales data with their individual targets, and then sort the sales reps based on their performance to identify the top 3 and bottom 3 sales reps, and then create a summary table in the new Excel sheet that lists the top 3 and bottom 3 sales reps along with their performance details, and then save the final Excel file with the consolidated and formatted data?",compare_xlsx_files,xlsx,qualified,full,20260105_212857,20260105_213508,"[1, 2, 3, 4, 5, 6]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/de217977-247d-647c-b422-52bdbedac762.json,Target file appeared between snapshots.,
Microsoft_15,6855cff6-a484-3b11-ba62-56cfcbd957b8,excel,1,"Could you open the task list in Excel, and then create a Gantt chart based on the task list, including task name, start date, and end date? Could you format the Gantt chart to clearly show the project status, and then save the Excel file with the Gantt chart for the project manager?",compare_xlsx_files,xlsx,qualified,full,20260106_122235,20260106_123208,"[1, 2, 3]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/6855cff6-a484-3b11-ba62-56cfcbd957b8.json,Target file appeared between snapshots.,
Microsoft_16,ae166790-2b99-bfbf-4d2c-2964e4ef7f98,excel,1,"Could you create a blank Excel workbook, and then import the test results from all three classes into the Excel workbook, and then calculate the total points for each student and classify them into Good, Better, and Bad categories based on their scores, and then count the number of students in each classification (Good, Better, Bad) in the summary table, and then calculate the percentage of students in each classification (Good, Better, Bad) in the summary table, and then save the final result as an Excel file named 'final result.xlsx'?",compare_xlsx_files,xlsx,qualified,full,20260106_141728,20260106_142347,"[1, 2, 3, 4, 5, 6]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/ae166790-2b99-bfbf-4d2c-2964e4ef7f98.json,Target file appeared between snapshots.,
Microsoft_17,73742968-e679-db3f-c815-3b46978829a8,excel,1,"Could you create a new Excel workbook to organize the staff support data for the 5-day event, and then enter the staff names and their corresponding support days into the Excel workbook? Could you split the names in the single field into separate rows for each staff member in the Excel workbook? Could you create a summary table in the Excel workbook to show the number of days each staff member is supporting the event? Could you create a chart in the Excel workbook to visualize the staff support by day?",compare_xlsx_files,xlsx,qualified,full,20260106_155253,20260106_155927,"[1, 2]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/73742968-e679-db3f-c815-3b46978829a8.json,Target file appeared between snapshots.,
Microsoft_18,a834a858-5715-a0cd-88a1-d5369e9ab9d1,excel,1,"Could you open the revenue list and filter it to show only the selected category and product, and then save the report document in a format suitable for sharing with the boss, and then calculate the total sales revenue for the filtered data?",compare_xlsx_files,xlsx,qualified,full,20260104_191852,20260104_192553,"[1, 3, 2]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/a834a858-5715-a0cd-88a1-d5369e9ab9d1.json,Target file appeared between snapshots.,
Microsoft_19,15104afc-9839-ba26-742d-ff86e63cfe1a,excel,1,"Could you prepare a data table in Excel to record the lend and return dates for books from 2023 to 2024, and then calculate the number of days each book was not in the library for each month based on the lend and return dates, and then create a summary table that shows the total days each book was lent out for each month, and then set up a filter or dropdown in Excel to allow the user to select a specific book and view its monthly lend records, and then format the cells and apply filters to display the lend history of the selected book on one page, and then compile the lend and return data from the two sheets into a single, consolidated sheet for easier review, and then save the final result as an Excel file?",compare_xlsx_files,xlsx,qualified,full,20260107_103257,20260107_104309,"[1, 2, 3, 4, 5, 6, 7]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/15104afc-9839-ba26-742d-ff86e63cfe1a.json,Target file appeared between snapshots.,
Microsoft_20,a609523b-0c67-7d7c-09d6-7dc2942ed1fd,excel,1,"Could you create a table in Excel to list the cities and the weight of products for each city, and then add the courier company's quotation for each city based on the weight of the products? Could you calculate the total delivery cost for each city in the Excel table, and then save the final Excel file?",compare_xlsx_files,xlsx,qualified,full,20260107_133949,20260107_135410,"[1, 2, 3]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/a609523b-0c67-7d7c-09d6-7dc2942ed1fd.json,Target file appeared between snapshots.,
Microsoft_21,630ec662-9c38-fd1c-2fdb-0c9c4c079e73,multi_app,1,Could you create a new folder named 'Meeting_Materials' directly on your computer desktop?,compare_directory_tree,directory_state,qualified,full,20260106_205053,20260106_205125,[1],"[""directory_state""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/630ec662-9c38-fd1c-2fdb-0c9c4c079e73.json,Corrected to a directory-state evaluator using the observed snapshot transition for 'Meeting_Materials'.,
Microsoft_21,3c74d5de-89a3-e56e-26d8-d0c88fa40680,word,2,Could you create a new Word document named 'Meeting_Minutes_Template.docx' inside the 'Meeting_Materials' folder?,compare_docx_files,docx,qualified,full,20260106_205125,20260106_205238,[2],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/3c74d5de-89a3-e56e-26d8-d0c88fa40680.json,Target file changed between snapshots.,
Microsoft_21,b6be0ac3-9084-c144-cef6-7485f4280291,word,3,"Could you set up a structured meeting minutes template in the Word document with sections for Meeting Title, Date & Time, Attendees, Agenda, Discussion Notes, Action Items, and Next Meeting Date? Could you apply the appropriate built-in 'Heading' styles to each section label? Could you insert a table in the 'Action Items' section with columns for 'Task', 'Responsible Person', and 'Deadline'? Could you create a bulleted list under the 'Agenda' section in the meeting minutes template? Could you add a 'Confidential' watermark to the document, insert a page header with your company/school name, and a footer with a page number?",compare_docx_files,docx,qualified,full,20260106_205238,20260106_210252,[3],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/b6be0ac3-9084-c144-cef6-7485f4280291.json,Target file changed between snapshots.,
Microsoft_21,2e3595a9-5e67-8217-f7d7-2d96d544c285,word,4,Could you save the meeting minutes template and export it as a PDF file into the same 'Meeting_Materials' folder?,compare_pdfs,pdf,qualified,full,20260106_210252,20260106_210458,[4],"[""pdf""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/2e3595a9-5e67-8217-f7d7-2d96d544c285.json,Target file appeared between snapshots.,
Microsoft_22,830e31e9-9d72-df41-dce9-99d7fd3bc140,excel,1,"Could you enter and format structured campaign data in Excel 365, including applying precise formatting, formulas, and styles?",compare_xlsx_files,xlsx,qualified,full,20260109_010856,20260109_011252,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/830e31e9-9d72-df41-dce9-99d7fd3bc140.json,Workbook non-empty cells increased from 22 to 25.,
Microsoft_22,217db466-380d-cf90-7559-b95454519065,excel,2,Could you create a chart in the Excel workbook using the formatted data?,compare_xlsx_files,xlsx,qualified,full,20260109_011252,20260109_011617,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/217db466-380d-cf90-7559-b95454519065.json,Workbook drawing/chart count increased from 0 to 1.,
Microsoft_22,046c41e9-de1a-3a10-ea75-1a6d1052aa4e,excel,3,Could you save the Excel workbook as Marketing_Campaign_Data.xlsx?,compare_xlsx_files,xlsx,qualified,full,20260109_011617,20260109_011730,[3],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/046c41e9-de1a-3a10-ea75-1a6d1052aa4e.json,Could not find target file appearance. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_22,6e22ae43-7839-f870-8cb6-2d2e0017f538,word,4,Could you create a written performance analysis report in Word 365 with explicit text content and defined paragraph styles?,compare_docx_files,docx,qualified,full,20260109_011730,20260109_012200,[4],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/6e22ae43-7839-f870-8cb6-2d2e0017f538.json,Target file changed between snapshots.,
Microsoft_22,564e26e4-d36e-00c9-b861-b92ca91e5cec,word,5,Could you save the Word document as Marketing_Performance_Report.docx?,compare_docx_files,docx,qualified,full,20260109_012200,20260109_012419,[5],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/564e26e4-d36e-00c9-b861-b92ca91e5cec.json,Could not find target file content change. Planned snapshots show an observable artifact change; using generic compare_docx_files evaluator.,
Microsoft_22,70481d6f-2ffe-3942-9329-145509e1c4a9,ppt,6,"Could you design a presentation in PowerPoint 365 that reuses the Excel data, applies specific slide layouts, font sizes, and chart styles to produce a professional review deck?",compare_pptx_files,pptx,qualified,full,20260109_012419,20260109_012631,[6],"[""pptx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/ppt/70481d6f-2ffe-3942-9329-145509e1c4a9.json,Target file changed between snapshots.,
Microsoft_22,e42e2e88-28fc-e075-6f13-0cd593c1ed53,ppt,7,Could you save the PowerPoint presentation as Marketing_Performance_Review.pptx?,compare_pptx_files,pptx,qualified,full,20260109_012631,20260109_012731,[7],"[""pptx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/ppt/e42e2e88-28fc-e075-6f13-0cd593c1ed53.json,Could not find target file content change. Planned snapshots show an observable artifact change; using generic compare_pptx_files evaluator.,
Microsoft_24,3f444eb7-6415-5fdc-57fa-d7690a478ecb,excel,1,"Could you open Excel, create a new workbook, and import the detail file into it, and then create a summary table in Excel that shows the total sales revenue for each month from January to June, and then create a chart in Excel to show the sales trend by each fruit over the months from January to June, and then add hyperlinks in the summary table that link to the detailed list for each month, and then save the final Excel file as 'final result.xlsx'?",compare_xlsx_files,xlsx,qualified,full,20260108_122420,20260108_123419,"[1, 2, 3, 4, 5]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/3f444eb7-6415-5fdc-57fa-d7690a478ecb.json,Target file appeared between snapshots.,
Microsoft_26,e3d2b13f-31b5-8345-8290-6fabcbd3d3f6,excel,1,Could you open the Material/Detail.xlsx file and prepare it for data manipulation?,compare_xlsx_files,xlsx,qualified,full,20260109_113403,20260109_113658,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/e3d2b13f-31b5-8345-8290-6fabcbd3d3f6.json,Could not find target file appearance. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_26,9cdca17a-899e-5bb1-c71d-809255ce23b2,excel,2,"Could you transform the data in the Material/Detail.xlsx file to include only the Fruit and detail columns, and combine the customer and revenue into one column?",compare_xlsx_files,xlsx,qualified,full,20260109_113658,20260109_113855,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/9cdca17a-899e-5bb1-c71d-809255ce23b2.json,Could not find workbook content growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_26,9f4a59b4-5c5e-bc76-0dab-f89518b2d2c4,excel,3,Could you create a pivot table to show the sales contribution for each fruit based on the transformed data?,compare_xlsx_files,xlsx,qualified,full,20260109_113855,20260109_114320,[3],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/9f4a59b4-5c5e-bc76-0dab-f89518b2d2c4.json,Could not find workbook chart growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_26,32ae5de5-cfc5-9268-daf1-e6f684179377,excel,4,"Could you create a chart to show the sales contribution for each fruit based on the pivot table, and then save the final result as 'final result.xlsx'?",compare_xlsx_files,xlsx,qualified,full,20260109_114320,20260109_114655,"[4, 5]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/32ae5de5-cfc5-9268-daf1-e6f684179377.json,Could not find workbook chart growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_27,c88ddcd8-9153-ea61-31be-92cffc6df4bc,excel,1,Could you organize the fruit purchase list into a standard table format with sales volume from January to February in Excel?,compare_xlsx_files,xlsx,qualified,full,20260109_155407,20260109_160216,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/c88ddcd8-9153-ea61-31be-92cffc6df4bc.json,Workbook non-empty cells increased from 47 to 84.,
Microsoft_27,ac979bf1-c986-c7b7-52a7-6158f066bd75,excel,2,"Could you separate the product and price information into distinct columns in the price file in Excel, and then create a summary table that shows the total sales for each product from January to February in Excel, and then create a bar chart to visualize the sales summary for each product from January to February in Excel, and then set up the data to refresh automatically in Excel?",compare_xlsx_files,xlsx,qualified,full,20260109_160216,20260109_160410,"[2, 3, 4, 5]","[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/ac979bf1-c986-c7b7-52a7-6158f066bd75.json,Could not find workbook content growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_29,6b2481f7-41f6-a1b7-a0d8-79c95ece60bb,excel,1,Could you create a sales performance table in Excel containing sales revenue and sales target for the 3 teams?,compare_xlsx_files,xlsx,qualified,full,20260110_122804,20260110_122921,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/6b2481f7-41f6-a1b7-a0d8-79c95ece60bb.json,Workbook non-empty cells increased from 70 to 76.,
Microsoft_29,6bebc103-66e3-d855-f3aa-79e4eca06159,excel,2,Could you add a column to calculate the gap between sales revenue and sales target for each month in the Excel table?,compare_xlsx_files,xlsx,qualified,full,20260110_122921,20260110_123602,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/6bebc103-66e3-d855-f3aa-79e4eca06159.json,Workbook non-empty cells increased from 76 to 94.,
Microsoft_32,fa2a257e-035b-156a-fc44-782df2fbc99a,excel,1,Could you create a sales volume table in Excel using the data provided by the operation team?,compare_xlsx_files,xlsx,qualified,full,20260111_195041,20260111_195359,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/fa2a257e-035b-156a-fc44-782df2fbc99a.json,Target file appeared between snapshots.,
Microsoft_32,be05e02f-1f01-7c99-4057-c4399da61bf5,excel,2,Could you add a column for the standard price of each fruit in the same Excel sheet using the data from the finance team?,compare_xlsx_files,xlsx,qualified,full,20260111_195359,20260111_195704,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/be05e02f-1f01-7c99-4057-c4399da61bf5.json,Workbook non-empty cells increased from 313 to 435.,
Microsoft_32,e26d23c2-82c5-be92-6691-c51372d0969d,excel,3,Could you calculate the sales revenue for each fruit in the Excel sheet?,compare_xlsx_files,xlsx,qualified,full,20260111_195704,20260111_200002,[3],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/e26d23c2-82c5-be92-6691-c51372d0969d.json,Workbook non-empty cells increased from 435 to 467.,
Microsoft_32,6b9daa24-64fd-8037-3c83-e5979870607e,excel,4,Could you create a chart in Excel to visualize which fruits have sales revenue above and below the average?,compare_xlsx_files,xlsx,qualified,full,20260111_200002,20260111_200341,[4],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/6b9daa24-64fd-8037-3c83-e5979870607e.json,Could not find workbook chart growth. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_33,d2d3d5a7-b6da-7b0d-8446-4d5d43fe0a64,excel,1,Could you create a dynamic project task tracker in Excel 365 with formulas and conditional formatting?,compare_xlsx_files,xlsx,qualified,full,20260109_225241,20260109_225958,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/d2d3d5a7-b6da-7b0d-8446-4d5d43fe0a64.json,Target file changed between snapshots.,
Microsoft_33,28155ab0-ec73-8c0a-bc3e-b6369f787b2e,multi_app,2,"Could you design a visual presentation in PowerPoint 365 to summarize the project status, link Excel charts, and add custom slide layouts and animations?",compare_pptx_files,pptx,qualified,full,20260109_225958,20260109_230747,[2],"[""pptx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/28155ab0-ec73-8c0a-bc3e-b6369f787b2e.json,Target file changed between snapshots.,
Microsoft_34,0fb6c50c-ed8d-7a1d-9dad-3f5d3dcc6890,excel,1,Could you open the Excel file named material/Project_Tracking.xlsx?,compare_xlsx_files,xlsx,qualified,full,20260111_004925,20260111_004958,[1],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/0fb6c50c-ed8d-7a1d-9dad-3f5d3dcc6890.json,Could not find target file appearance. Planned snapshots show an observable artifact change; using generic compare_xlsx_files evaluator.,
Microsoft_34,735110a3-4d13-d3c4-12ce-14b6890742e4,excel,2,Could you enter data and calculate the variance (USD) in the Excel workbook?,compare_xlsx_files,xlsx,qualified,full,20260111_004958,20260111_005018,[2],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/735110a3-4d13-d3c4-12ce-14b6890742e4.json,Target file changed between snapshots.,
Microsoft_34,45ffb236-eca0-9f9f-ce51-4a3711254e72,excel,3,Could you apply conditional formatting to column F and rename the sheet to 'Variance Summary'?,compare_xlsx_files,xlsx,qualified,full,20260111_005018,20260111_005307,[3],"[""xlsx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/excel/45ffb236-eca0-9f9f-ce51-4a3711254e72.json,Target file changed between snapshots.,
Microsoft_34,683b6d05-364b-9b44-36a4-58f30ba8df85,word,6,Could you edit the text and apply styles in the Word document?,compare_docx_files,docx,qualified,full,20260111_005402,20260111_005553,[6],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/683b6d05-364b-9b44-36a4-58f30ba8df85.json,Target file changed between snapshots.,
Microsoft_34,6cfb8d47-86d4-c334-ee40-6ec677ace77a,multi_app,7,Could you insert a linked table from the Excel dataset into the Word document and format it?,compare_docx_files,docx,qualified,full,20260111_005553,20260111_005939,[7],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/6cfb8d47-86d4-c334-ee40-6ec677ace77a.json,Target file changed between snapshots.,
Microsoft_34,83ae783e-bd98-5433-55d4-521750772a74,word,8,Could you save the Word document as Project_Report.docx on the Desktop?,compare_docx_files,docx,qualified,full,20260111_005939,20260111_010002,[8],"[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/83ae783e-bd98-5433-55d4-521750772a74.json,Could not find target file content change. Planned snapshots show an observable artifact change; using generic compare_docx_files evaluator.,
Microsoft_35,2453dfe6-c27c-a93f-9ade-3f9f71a43b47,word,1,"Could you create a new folder and a Word document for the project proposal template, and then set up styled headings in the Word document? Could you add a bulleted list for project phases in the Word document, and then create a resource planning table in the Word document, and then add document protection elements such as a watermark, header, and footer to the Word document, and then save the template in Word format?",compare_docx_files,docx,qualified,full,20260110_115839,20260110_120706,"[1, 2, 3, 4, 5]","[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/2453dfe6-c27c-a93f-9ade-3f9f71a43b47.json,Target file changed between snapshots.,
Microsoft_35,2982bada-33c3-9b4b-d936-36e475d9a3fd,word,6,Could you export a PDF copy of the template to the same folder?,compare_pdfs,pdf,qualified,full,20260110_120706,20260110_120720,[6],"[""pdf""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/2982bada-33c3-9b4b-d936-36e475d9a3fd.json,Target file appeared between snapshots.,
Microsoft_36,24cf07d8-9ab5-61e2-4390-ea884470d3d7,multi_app,1,Could you create a new folder named 'Project' on the desktop of your cloud computer?,compare_directory_tree,directory_state,qualified,full,20260110_181603,20260110_181628,[1],"[""directory_state""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/multi_app/24cf07d8-9ab5-61e2-4390-ea884470d3d7.json,Corrected to a directory-state evaluator using the observed snapshot transition for 'Project'.,
Microsoft_36,31cc8fc2-88e0-a36e-5211-f5ed7cacff93,word,2,"Could you create a new Word document named 'Project' inside the 'Project_Launch' folder, and then create a structured project charter template in the Word document with sections for Project Title, Goals, Scope, Key Stakeholders, Milestones, Resources, and Risks & Assumptions? Could you apply the appropriate built-in 'Heading' style to the label of each section in the project charter template? Could you insert a table in the 'Key Stakeholders' section with columns for 'Name', 'Role', and 'Department'? Could you create a numbered list under the 'Milestones' section in the project charter template? Could you add a watermark to the Word document, insert a header containing the company name, and a footer with page numbers?",compare_docx_files,docx,qualified,full,20260110_181628,20260110_182334,"[2, 3]","[""docx""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/31cc8fc2-88e0-a36e-5211-f5ed7cacff93.json,Target file changed between snapshots.,
Microsoft_36,31509d81-a8a5-922d-ce21-a6813c36cdaa,word,4,Could you save the project charter template and export a PDF copy to the same 'Project_Launch' folder?,compare_pdfs,pdf,qualified,full,20260110_182334,20260110_182355,[4],"[""pdf""]",evaluation_examples/rule_based_bundle/Microsoft/examples_windows/word/31509d81-a8a5-922d-ce21-a6813c36cdaa.json,Target file appeared between snapshots.,
